,0
0,5
1,2
2,1
3,4
4,4
5,3
6,0
7,6
8,0
9,7
10,0
11,7
12,3
13,4
14,4
15,0
16,2
17,2
18,2
19,1
20,2
21,5
22,0
23,1
24,5
25,4
26,5
27,7
28,4
29,0
30,2
31,5
32,4
33,2
34,4
35,4
36,1
37,2
38,0
39,6
40,0
41,5
42,2
43,5
44,5
45,6
46,5
47,5
48,6
49,6
50,3
51,5
52,4
53,0
54,1
55,2
56,0
57,7
58,0
59,2
60,0
61,4
62,0
63,0
64,4
65,6
66,7
67,7
68,7
69,0
70,2
71,1
72,1
73,2
74,4
75,0
76,0
77,3
78,5
79,3
80,6
81,1
82,4
83,1
84,2
85,5
86,6
87,4
88,7
89,0
90,3
91,0
92,0
93,0
94,4
95,5
96,5
97,5
98,5
99,4
100,4
101,0
102,0
103,7
104,4
105,2
106,0
107,5
108,1
109,1
110,0
111,2
112,0
113,7
114,0
115,4
116,3
117,7
118,4
119,1
120,0
121,4
122,2
123,4
124,0
125,0
126,3
127,6
128,1
129,4
130,4
131,4
132,2
133,0
134,6
135,6
136,6
137,6
138,1
139,5
140,1
141,0
142,6
143,4
144,1
145,3
146,4
147,7
148,5
149,3
150,7
151,6
152,2
153,1
154,2
155,4
156,2
157,1
158,6
159,7
160,7
161,6
162,1
163,4
164,1
165,0
166,0
167,3
168,3
169,0
170,0
171,5
172,4
173,4
174,2
175,1
176,0
177,5
178,0
179,4
180,4
181,2
182,1
183,0
184,7
185,6
186,2
187,5
188,5
189,7
190,0
191,0
192,3
193,5
194,3
195,1
196,7
197,5
198,0
199,7
200,3
201,0
202,6
203,3
204,1
205,7
206,5
207,7
208,4
209,7
210,4
211,0
212,1
213,4
214,7
215,3
216,4
217,5
218,7
219,5
220,2
221,5
222,7
223,0
224,3
225,4
226,3
227,3
228,6
229,2
230,6
231,3
232,2
233,3
234,7
235,1
236,3
237,0
238,4
239,7
240,6
241,7
242,2
243,3
244,3
245,7
246,3
247,2
248,0
249,2
250,3
251,1
252,5
253,2
254,1
255,3
256,3
257,0
258,0
259,5
260,3
261,0
262,7
263,2
264,7
265,4
266,5
267,0
268,2
269,4
270,0
271,1
272,6
273,2
274,3
275,3
276,2
277,0
278,1
279,4
280,2
281,2
282,6
283,6
284,0
285,5
286,0
287,1
288,1
289,4
290,4
291,0
292,3
293,1
294,6
295,4
296,0
297,4
298,5
299,6
300,0
301,4
302,0
303,0
304,5
305,2
306,3
307,1
308,2
309,7
310,1
311,1
312,3
313,1
314,4
315,4
316,4
317,0
318,5
319,0
320,1
321,6
322,0
323,0
324,1
325,4
326,1
327,3
328,5
329,3
330,0
331,1
332,4
333,7
334,4
335,7
336,6
337,6
338,5
339,0
340,0
341,4
342,5
343,2
344,2
345,6
346,1
347,2
348,1
349,5
350,5
351,3
352,0
353,0
354,7
355,5
356,1
357,5
358,5
359,4
360,1
361,2
362,0
363,5
364,3
365,2
366,4
367,2
368,0
369,2
370,0
371,4
372,3
373,4
374,3
375,7
376,0
377,0
378,5
379,6
