,0
0,0
1,3
2,0
3,0
4,2
5,3
6,1
7,0
8,0
9,3
10,0
11,3
12,0
13,0
14,2
15,1
16,3
17,3
18,3
19,1
20,2
21,3
22,0
23,2
24,2
25,0
26,3
27,2
28,2
29,0
30,3
31,0
32,1
33,3
34,0
35,2
36,0
37,3
38,0
39,3
40,3
41,2
42,0
43,1
44,0
45,3
46,2
47,2
48,2
49,2
50,2
51,0
52,1
53,0
54,3
55,1
56,2
57,3
58,1
59,0
60,1
61,2
62,1
63,0
64,0
65,0
66,2
67,3
68,3
69,0
70,3
71,2
72,2
73,3
74,0
75,0
76,3
77,2
78,1
79,3
80,3
81,3
82,3
83,2
84,3
85,3
86,1
87,2
88,0
89,1
90,3
91,0
92,0
93,0
94,0
95,2
96,2
97,0
98,2
99,0
100,0
101,2
102,2
103,0
104,2
105,3
106,0
107,3
108,0
109,2
110,1
111,3
112,1
113,0
114,2
115,3
116,3
117,3
118,2
119,0
120,0
121,0
122,1
123,2
124,3
125,2
126,2
127,2
128,0
129,1
130,0
131,1
132,3
133,0
134,2
135,3
136,0
137,0
138,2
139,0
140,2
141,3
142,3
143,2
144,3
145,3
146,1
147,3
148,0
149,3
150,0
151,0
152,3
153,2
154,3
155,3
156,3
157,0
158,3
159,3
160,3
161,3
162,3
163,2
164,2
165,0
166,3
167,3
168,1
169,1
170,2
171,0
172,2
173,2
174,3
175,2
176,3
177,0
178,2
179,2
180,2
181,3
182,2
183,2
184,2
185,0
186,2
187,1
188,2
189,3
190,2
191,3
192,2
193,2
194,2
195,3
196,0
197,0
198,1
199,0
200,3
201,0
202,0
203,3
204,3
205,0
206,0
207,2
208,3
209,0
210,3
211,0
212,3
213,2
214,1
215,3
216,3
217,1
218,3
219,0
220,3
221,0
222,0
223,0
224,3
225,2
226,2
227,0
228,0
229,1
230,3
231,3
232,1
233,3
234,0
235,0
236,3
237,2
238,0
239,1
240,3
241,2
242,3
243,1
244,3
245,3
246,3
247,3
248,0
249,3
250,2
251,2
252,2
253,2
254,3
255,0
256,3
257,2
258,3
259,1
260,0
261,0
262,3
263,0
264,0
265,2
266,0
267,0
268,3
269,2
270,0
271,0
272,3
273,1
274,3
275,0
276,3
277,3
278,2
279,2
280,3
281,3
282,3
283,3
284,0
285,3
286,0
287,2
288,3
289,0
290,1
291,0
292,1
293,3
294,0
295,2
296,2
297,0
298,3
299,3
300,2
301,2
302,1
303,2
304,2
305,2
306,2
307,0
308,2
309,3
310,3
311,3
312,3
313,3
314,2
315,0
316,2
317,0
318,2
319,3
320,3
321,0
322,0
323,0
324,3
325,2
326,3
327,3
328,2
329,3
330,0
331,2
332,2
333,3
334,0
335,0
336,2
337,3
338,0
339,0
340,0
341,1
342,1
343,3
344,3
345,0
346,3
347,3
348,0
349,2
350,2
351,3
352,0
353,3
354,3
355,3
356,3
357,1
358,0
359,3
360,2
361,3
362,3
363,0
364,2
365,3
366,3
367,3
368,0
369,3
370,0
371,0
372,3
373,3
374,3
375,3
376,3
377,2
378,2
379,1
