,0
0,3
1,0
2,0
3,2
4,1
5,2
6,0
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,0
15,1
16,0
17,3
18,0
19,0
20,2
21,1
22,1
23,3
24,2
25,2
26,2
27,0
28,2
29,0
30,3
31,2
32,2
33,3
34,2
35,2
36,2
37,0
38,0
39,0
40,1
41,3
42,3
43,3
44,2
45,2
46,3
47,3
48,0
49,0
50,2
51,2
52,1
53,2
54,0
55,0
56,1
57,0
58,2
59,0
60,1
61,3
62,2
63,3
64,2
65,0
66,3
67,2
68,2
69,3
70,0
71,1
72,3
73,0
74,2
75,0
76,2
77,2
78,3
79,1
80,0
81,0
82,1
83,0
84,3
85,2
86,3
87,2
88,3
89,0
90,3
91,2
92,3
93,0
94,3
95,3
96,3
97,0
98,2
99,0
100,3
101,2
102,0
103,0
104,1
105,0
106,0
107,1
108,1
109,3
110,3
111,0
112,2
113,2
114,2
115,3
116,1
117,2
118,1
119,3
120,0
121,2
122,2
123,1
124,2
125,3
126,1
127,3
128,0
129,3
130,1
131,3
132,0
133,0
134,3
135,0
136,0
137,0
138,3
139,0
140,0
141,3
142,0
143,0
144,0
145,2
146,1
147,1
148,3
149,0
150,0
151,0
152,2
153,3
154,0
155,1
156,2
157,0
158,2
159,3
160,2
161,3
162,3
163,0
164,1
165,1
166,3
167,1
168,1
169,2
170,2
171,0
172,1
173,1
174,0
175,2
176,2
177,3
178,2
179,3
180,2
181,0
182,2
183,2
184,2
185,3
186,0
187,3
188,3
189,3
190,2
191,2
192,2
193,3
194,2
195,1
196,0
197,1
198,3
199,2
200,2
201,3
202,0
203,0
204,3
205,0
206,2
207,3
208,1
209,2
210,1
211,2
212,3
213,2
214,0
215,2
216,2
217,0
218,2
219,1
220,0
221,0
222,0
223,3
224,2
225,1
226,0
227,0
228,2
229,3
230,2
231,3
232,3
233,0
234,1
235,3
236,3
237,2
238,0
239,2
240,0
241,3
242,3
243,1
244,1
245,1
246,0
247,0
248,3
249,0
250,1
251,0
252,3
253,3
254,3
255,1
256,2
257,2
258,2
259,2
260,3
261,0
262,0
263,0
264,2
265,1
266,3
267,3
268,0
269,2
270,2
271,1
272,1
273,0
274,1
275,0
276,3
277,3
278,3
279,3
280,0
281,0
282,0
283,2
284,2
285,3
286,2
287,3
288,2
289,2
290,1
291,3
292,2
293,3
294,2
295,1
296,0
297,0
298,2
299,0
300,2
301,3
302,3
303,3
304,0
305,3
306,3
307,0
308,0
309,3
310,3
311,1
312,0
313,3
314,2
315,2
316,3
317,3
318,0
319,0
320,0
321,0
322,3
323,2
324,2
325,3
326,3
327,2
328,0
329,0
330,3
331,3
332,1
333,0
334,1
335,2
336,2
337,2
338,0
339,2
340,2
341,2
342,2
343,3
344,0
345,3
346,1
347,0
348,0
349,3
350,1
351,2
352,2
353,3
354,3
355,1
356,0
357,3
358,0
359,0
360,3
361,0
362,3
363,0
364,2
365,3
366,2
367,0
368,1
369,3
370,3
371,2
372,2
373,2
374,1
375,2
376,0
377,2
378,3
379,0
